L,mkm	n
0.22	1.09
0.23	1.11
0.24	1.16
0.25	1.18
0.26	1.27
0.27	1.32
0.28	1.38
0.29	1.43
0.3	1.5
0.31	1.53
0.32	1.57
0.33	1.61
0.34	1.65
0.35	1.68
0.36	1.72
0.37	1.77
0.38	1.82
0.39	1.86
0.4	1.9
0.41	1.96
0.425	2
0.45	2.13
0.475	2.23
0.5	2.3
0.525	2.36
0.55	2.43
0.575	2.48
0.6	2.55
0.625	2.61
0.65	2.66
0.675	2.73
0.7	2.8
0.75	2.88
0.775	2.93
0.8	2.98
0.85	3.06
0.9	3.12
0.95	3.16
1	3.2
1.05	3.24
1.1	3.29
1.15	3.36
1.2	3.38
1.25	3.42
1.3	3.46
1.35	3.5
1.4	3.52
1.5	3.66
1.6	3.71
1.7	3.76
1.8	3.84
1.9	3.9
2	3.97
2.2	4.09
2.4	4.23
2.6	4.26
2.8	4.32
3	4.38
3.2	4.44
3.4	4.55
3.6	4.61
3.8	4.63
4	4.7
4.5	4.9
5	5.1
5.5	5.4
6	5.5
6.5	5.9
7	6.1
7.5	6.3
8	6.5
8.5	6.7
9	7.1
9.5	7.4
10	7.5
10.5	7.8
11	7.9
11.5	8.2
12	8.6
12.5	8.8
13	9.1
13.5	9.4
14	9.6
14.5	9.9
15	10.1
